filename,makanan_pokok,lauk_pauk,sayur,buah,susu
test_Ayam_Goreng_Ayam_Goreng_010.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_011.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_013.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_019.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_025.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_035.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_036.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_043.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_053.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_081.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_082.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_090.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_097.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_102.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_106.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_110.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_132.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_148.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_155.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_162.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_175.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_186.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_190.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_201.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_204.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_213.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_214.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_232.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_249.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_263.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_273.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_280.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_282.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_293.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_302.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_304.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_309.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_314.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_338.jpg,0,1,0,0,0
test_Ayam_Goreng_Ayam_Goreng_339.jpg,0,1,0,0,0
